RIVER	BIN50	YES	NO	TOTAL
AIPPARUSIK	275	0	1	1
AIPPARUSIK	325	0	3	3
AIPPARUSIK	375	1	6	7
AIPPARUSIK	425	1	10	11
AIPPARUSIK	475	0	8	8
AIPPARUSIK	525	1	3	4
AIPPARUSIK	575	0	3	3
AIPPARUSIK	625	0	1	1
TASIALLUJUAK	175	0	3	3
TASIALLUJUAK	225	0	9	9
TASIALLUJUAK	275	0	7	7
TASIALLUJUAK	325	0	8	8
TASIALLUJUAK	375	0	8	8
TASIALLUJUAK	425	1	1	2
TASIALLUJUAK	475	1	2	3
TASIALLUJUAK	525	4	0	4
TASIALLUJUAK	575	3	0	3
TASIALLUJUAK	675	2	0	2
VOLTZ	225	0	1	1
VOLTZ	275	0	7	7
VOLTZ	325	0	4	4
VOLTZ	375	2	7	9
VOLTZ	425	0	5	5
VOLTZ	475	0	1	1
VOLTZ	525	0	2	2
VOLTZ	575	0	1	1
